index,speedx,speedy,expectedx,expectedy,expecteddistance,measuredx,measuredy,measureddistance,odometryx,odometryy,odometrydistance,odometryerror,odometryerrorpercent
1,0.4,0.0,1.20,0.00,1.20,1.13,0.01,1.13,1.13,0.01,1.13,0.04,3.1\%
2,0.8,0.0,2.40,0.00,2.40,2.38,0.01,2.38,2.38,0.01,2.38,0.01,0.5\%
3,-0.4,0.0,-1.20,0.00,1.20,-1.14,0.02,1.14,-1.14,0.02,1.14,0.03,2.8\%
4,-0.8,0.0,-2.40,0.00,2.40,-2.40,0.03,2.40,-2.4,0.03,2.40,0.02,0.7\%
5,0.0,0.4,0.00,1.20,1.20,0.01,1.14,1.14,0.01,1.14,1.14,0.03,2.7\%
6,0.0,0.8,0.00,2.40,2.40,0.02,2.35,2.35,0.02,2.35,2.35,0.03,1.2\%
7,0.0,-0.4,0.00,-1.20,1.20,0.01,-1.16,1.16,0.01,-1.16,1.16,0.02,1.9\%
8,0.0,-0.8,0.00,-2.40,2.40,0.03,-2.37,2.37,0.03,-2.37,2.37,0.02,0.9\%
9,0.8,0.4,2.40,1.20,2.68,2.43,1.23,2.72,2.43,1.23,2.72,0.02,0.9\%
10,0.8,-0.4,2.40,-1.20,2.68,2.47,-1.24,2.77,2.47,-1.24,2.76,0.04,1.6\%
11,-0.4,0.8,-1.20,2.40,2.68,-1.16,2.29,2.57,-1.16,2.29,2.57,0.06,2.2\%
12,-0.4,-0.8,-1.20,-2.40,2.68,-1.18,-2.32,2.60,-1.18,-2.32,2.60,0.04,1.6\%
